-23° -31' -35.4089''	-51° -43' -10.1548''
-23° -31' -33.8998''	-51° -43' -9.7346''
-23° -31' -32.2798''	-51° -43' -9.3968''
-23° -31' -30.7252''	-51° -43' -9.1373''
-23° -31' -28.9818''	-51° -43' -8.8486''
-23° -31' -27.5348''	-51° -43' -8.5793''
-23° -31' -25.9925''	-51° -43' -8.2724''
-23° -31' -24.4167''	-51° -43' -7.9801''
-23° -31' -22.8844''	-51° -43' -7.6330''
-23° -31' -21.3450''	-51° -43' -7.2953''
-23° -31' -19.7851''	-51° -43' -7.0097''
-23° -31' -18.3003''	-51° -43' -6.8290''
-23° -31' -16.7307''	-51° -43' -6.6606''
-23° -31' -15.2669''	-51° -43' -6.3544''
-23° -31' -13.5905''	-51° -43' -6.0456''
-23° -31' -12.1269''	-51° -43' -5.7928''
-23° -31' -10.4915''	-51° -43' -5.5078''
-23° -31' -8.8337''	-51° -43' -5.2240''
-23° -31' -7.3873''	-51° -43' -4.9820''
-23° -31' -5.6763''	-51° -43' -4.7017''
-23° -31' -4.1979''	-51° -43' -4.4333''
-23° -31' -2.6605''	-51° -43' -4.1759''
-23° -31' -1.0787''	-51° -43' -3.9021''
-23° -30' -59.4164''	-51° -43' -3.5840''
-23° -30' -57.8983''	-51° -43' -3.2699''
-23° -30' -56.3993''	-51° -43' -3.0068''
-23° -30' -54.6750''	-51° -43' -2.7225''
-23° -30' -53.2365''	-51° -43' -2.4805''
-23° -30' -51.6122''	-51° -43' -2.1551''
-23° -30' -50.2266''	-51° -43' -1.8813''
-23° -30' -48.6842''	-51° -43' -1.6506''
-23° -30' -47.1601''	-51° -43' -1.7513''
-23° -30' -45.5680''	-51° -43' -1.9921''
-23° -30' -44.0554''	-51° -43' -2.2023''
-23° -30' -42.3787''	-51° -43' -2.3902''
-23° -30' -40.9556''	-51° -43' -2.5465''
-23° -30' -39.3601''	-51° -43' -2.7083''
-23° -30' -37.8048''	-51° -43' -2.8621''
-23° -30' -36.1831''	-51° -43' -3.0017''
-23° -30' -34.6330''	-51° -43' -3.1630''
-23° -30' -33.0030''	-51° -43' -3.3111''
-23° -30' -31.4075''	-51° -43' -3.4327''
-23° -30' -29.7627''	-51° -43' -3.6253''
-23° -30' -28.5204''	-51° -43' -4.4990''
-23° -30' -27.8789''	-51° -43' -6.1394''
-23° -30' -28.3738''	-51° -43' -7.6554''
-23° -30' -29.8837''	-51° -43' -8.0103''
-23° -30' -31.0744''	-51° -43' -6.8420''
-23° -30' -32.0809''	-51° -43' -5.5481''
-23° -30' -33.3630''	-51° -43' -4.5315''
-23° -30' -34.9539''	-51° -43' -4.2185''
-23° -30' -36.6434''	-51° -43' -4.1148''
-23° -30' -38.1136''	-51° -43' -4.0314''
-23° -30' -39.6319''	-51° -43' -3.9188''
-23° -30' -41.2465''	-51° -43' -3.7729''
-23° -30' -42.7883''	-51° -43' -3.6255''
-23° -30' -44.3946''	-51° -43' -3.4780''
-23° -30' -45.9763''	-51° -43' -3.3534''
-23° -30' -47.6418''	-51° -43' -3.1979''
-23° -30' -49.1362''	-51° -43' -3.1071''
-23° -30' -50.7431''	-51° -43' -3.0925''
-23° -30' -52.3532''	-51° -43' -3.4225''
-23° -30' -53.7920''	-51° -43' -3.7763''
